old_district,new_district,voter_count
61,141,7791
61,142,2019
61,143,15668
61,144,5213
61,145,21951
61,146,14049
61,147,17681
61,148,6746
62,17,7523
62,19,24938
62,20,287
62,36,1673
62,39,1519
62,40,635
62,41,284
62,44,318
62,45,127
62,52,345
62,62,99054
62,75,245
62,136,170
63,63,131733
64,10,177
64,33,2827
64,44,61
64,61,8087
64,64,92232
64,66,6882
64,67,18463
64,70,6104
64,89,13560
65,65,151941
66,20,167
66,44,126
66,45,97
66,52,78
66,75,187
66,126,5139
66,127,4077
66,128,3645
66,129,7895
66,130,12995
66,132,4507
66,134,22366
66,136,294
66,138,4941
66,139,4851
66,140,155
66,141,7263
66,142,4249
66,143,9426
66,144,5342
66,145,15503
66,146,9742
66,147,15835
66,148,4397
66,150,2867
67,20,158
67,44,141
67,45,109
67,52,78
67,75,429
67,127,1641
67,128,6814
67,129,2329
67,131,4570
67,133,8517
67,134,25693
67,136,41
67,138,3624
67,139,7785
67,140,3008
67,141,4910
67,142,7681
67,143,9087
67,144,7101
67,145,30091
67,146,2474
67,147,19649
68,5,7282
68,6,8343
68,7,12397
68,11,10027
68,19,3629
68,20,90
68,21,367
68,22,12163
68,31,16946
68,33,3803
68,44,283
68,45,61
68,52,43
68,68,56675
68,69,5861
68,73,2410
68,75,67
68,136,53
69,7,165
69,9,8130
69,12,2046
69,13,402
69,14,6256
69,20,184
69,21,6997
69,32,2124
69,34,1321
69,39,707
69,40,248
69,44,248
69,45,150
69,46,261
69,49,486
69,51,239
69,52,198
69,56,451
69,69,79037
69,74,2427
69,75,224
69,81,796
69,85,2185
69,88,2391
69,136,191
69,143,1334
69,145,1380
70,44,64
70,45,131
70,75,86
70,128,2523
70,129,1709
70,130,2433
70,132,2879
70,134,13787
70,136,170
70,138,1991
70,139,3234
70,140,3591
70,141,2451
70,142,5303
70,143,12922
70,144,6134
70,145,21910
70,146,12826
70,147,20671
71,20,228
71,21,1567
71,22,8866
71,31,10873
71,44,243
71,45,141
71,52,198
71,58,8479
71,71,89033
71,75,173
71,136,214
72,8,1806
72,18,842
72,20,89
72,21,6998
72,22,687
72,31,2438
72,44,164
72,45,179
72,52,204
72,72,22491
72,75,117
72,82,1768
72,126,3658
72,127,355
72,128,829
72,129,3466
72,130,1856
72,131,9080
72,133,7967
72,134,3898
72,136,183
72,137,3491
72,138,2335
72,139,2188
72,140,8134
72,141,8520
72,142,7954
72,143,291
72,146,4914
72,147,3003
72,149,365
72,150,953
73,20,367
73,44,384
73,45,287
73,52,323
73,73,141949
73,75,500
73,129,2590
73,131,3374
73,133,3913
73,136,327
73,137,3659
73,138,3995
73,139,3406
73,140,1966
73,141,2994
73,142,4010
73,145,1370
73,149,2500
73,150,3409
74,8,7844
74,13,4433
74,20,125
74,21,10407
74,22,19712
74,30,7424
74,44,119
74,45,78
74,52,58
74,61,6
74,66,10751
74,67,4047
74,70,7457
74,74,42058
74,88,2170
74,89,6900
75,20,86
75,33,4447
75,44,123
75,45,172
75,52,105
75,61,41055
75,66,5757
75,67,36273
75,70,11171
75,75,1335
75,89,13682
75,136,454
76,76,123709
77,33,8516
77,44,2
77,45,106
77,61,11375
77,66,12437
77,67,16229
77,70,42668
77,89,28407
77,136,354
78,33,8598
78,44,154
78,61,14519
78,66,5054
78,67,47533
78,70,27438
78,89,31940
78,136,54
79,20,33
79,33,13297
79,44,135
79,45,255
79,61,16934
79,66,37051
79,67,16646
79,70,17902
79,89,21741
79,136,196
80,2,7813
80,7,6645
80,13,23138
80,20,1
80,31,17919
80,32,4639
80,34,4876
80,44,182
80,45,96
80,52,30
80,56,9027
80,75,129
80,80,42154
80,136,45
81,9,129
81,20,227
81,44,202
81,45,169
81,52,174
81,75,288
81,81,92558
81,83,4038
81,136,273
82,3,1829
82,15,1666
82,16,3282
82,20,240
82,33,3500
82,44,245
82,45,136
82,52,239
82,75,208
82,82,98111
82,136,117
83,8,2648
83,21,4378
83,22,3634
83,25,2843
83,29,820
83,31,9377
83,33,487
83,37,4528
83,44,139
83,45,185
83,52,32
83,62,6323
83,71,1437
83,75,65
83,83,89903
83,136,143
84,44,102
84,45,50
84,84,107616
84,136,80
85,20,289
85,44,240
85,45,338
85,46,6907
85,49,11802
85,51,7290
85,52,477
85,75,289
85,85,38323
85,128,9400
85,129,2052
85,130,3905
85,131,2676
85,133,3438
85,135,1821
85,136,242
85,137,6158
85,138,3045
85,140,1163
85,141,12624
85,142,7794
85,143,9336
85,144,4101
85,145,6148
85,146,283
85,147,4118
85,148,1872
86,13,2863
86,17,1318
86,20,258
86,44,198
86,45,334
86,52,392
86,54,1413
86,55,1404
86,62,1423
86,71,4519
86,72,8760
86,75,144
86,86,99025
86,136,163
87,9,3004
87,12,2601
87,14,10866
87,18,5211
87,20,4
87,44,94
87,45,192
87,52,212
87,62,4227
87,69,1803
87,75,61
87,85,1432
87,87,9984
87,126,3721
87,130,5079
87,132,2215
87,134,5196
87,136,246
87,137,1683
87,138,3373
87,139,9318
87,140,6530
87,142,1653
87,144,1861
87,145,2601
87,146,8161
87,147,3570
87,148,4355
88,5,9202
88,6,3122
88,17,4166
88,19,3897
88,20,33
88,30,2905
88,37,7880
88,43,3184
88,44,199
88,45,77
88,52,114
88,53,10735
88,61,354
88,62,5406
88,67,15568
88,69,3648
88,70,6211
88,73,4249
88,75,110
88,88,4093
88,89,2345
88,126,685
88,128,1027
88,129,441
88,130,989
88,131,1222
88,133,615
88,134,3484
88,135,1123
88,136,159
88,137,919
88,138,1290
88,140,1983
88,141,2835
88,142,1875
88,143,158
88,144,542
88,145,856
88,150,373
89,20,51
89,44,96
89,45,178
89,52,37
89,75,215
89,126,3013
89,128,1842
89,129,4542
89,133,3186
89,134,17871
89,136,202
89,137,6065
89,138,966
89,139,9044
89,140,3251
89,141,7224
89,142,11655
89,143,7164
89,144,918
89,145,17713
89,146,4490
89,147,24677
89,148,8022
89,150,10871
90,10,96
90,90,94583
91,91,116874
92,92,93682
93,93,138663
94,94,120886
95,10,263
95,95,107213
96,10,100
96,96,130912
97,10,168
97,97,134320
98,98,139547
99,10,21
99,99,125506
100,100,90254
101,101,109738
102,10,138
102,102,93674
103,103,94454
104,104,89283
105,105,83296
106,10,1875
106,106,150190
107,10,121
107,107,83686
108,10,161
108,108,146915
109,109,116805
110,110,87461
111,111,112393
112,112,131823
113,113,107493
114,10,318
114,114,119940
115,115,113567
116,116,115863
117,10,834
117,117,132621
118,10,547
118,118,138770
119,10,321
119,119,121303
120,120,116112
121,121,148468
122,122,163178
123,10,106
123,123,119810
124,10,382
124,124,104602
125,125,132746
126,10,28
126,44,19
126,45,70
126,52,126
126,126,126579
127,10,292
127,45,42
127,75,39
127,127,144721
127,136,41
128,10,97
128,20,83
128,44,25
128,45,57
128,52,134
128,128,113630
129,10,77
129,20,85
129,44,21
129,52,98
129,75,49
129,129,135841
129,136,55
130,10,50
130,20,121
130,44,53
130,45,49
130,52,108
130,75,29
130,130,136975
131,10,96
131,20,27
131,44,7
131,45,99
131,52,176
131,75,40
131,131,92188
131,136,68
132,10,265
132,44,11
132,45,6
132,52,83
132,132,141398
132,136,191
133,20,162
133,44,46
133,45,85
133,52,126
133,75,103
133,133,118874
133,136,36
134,20,15
134,44,76
134,45,124
134,52,31
134,75,260
134,134,150522
134,136,262
135,20,87
135,44,14
135,135,116986
136,44,70
136,45,74
136,75,337
136,127,2083
136,129,2859
136,131,551
136,132,7539
136,133,2682
136,134,18755
136,136,1540
136,138,7836
136,139,11626
136,140,34
136,141,9168
136,142,14312
136,143,7989
136,144,6099
136,145,1936
136,146,9055
136,147,7792
