Old_CD,New_SD,Old_CD_Republican,Old_CD_Democrat,Old_CD_Other,Old_CD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
7,8,19837,29162,23108,430497,84678,3269,3836,77573,3901.9028843406572,5736.113924138844,-632.9028843406572,-1900.1139241388437,-16.22036486045462,-33.12545652454254
7,18,19837,29162,23108,430497,4055,62,213,3780,186.8515576182877,274.6869548452138,-124.8515576182877,-61.68695484521379,-66.81858005879857,-22.457183989670863
7,22,19837,29162,23108,430497,13795,1537,1036,11222,635.6639302945201,934.4775689493772,901.3360697054799,101.5224310506228,141.79443362278977,10.864084320907065
7,29,19837,29162,23108,430497,2,0,0,2,0.09215859808546865,0.13548061891255922,-0.09215859808546865,-0.13548061891255922,-100.0,-100.0
7,38,19837,29162,23108,430497,9750,521,505,8724,449.2731656666597,660.4680171987261,71.72683433334032,-155.4680171987261,15.965083119733524,-23.539068228938607
8,3,56640,12038,31884,546344,142218,20744,1753,119721,14743.874774867118,3133.5940067063975,6000.125225132882,-1380.5940067063975,40.69571477479508,-44.05784552024619
8,4,56640,12038,31884,546344,118799,17759,1454,99586,12316.004861406,2617.5859202260845,5442.995138594,-1163.5859202260845,44.19448676616247,-44.45263520234644
8,8,56640,12038,31884,546344,168229,6353,5388,156488,17440.459783579576,3706.7135394549955,-11087.459783579576,1681.2864605450045,-63.57320805279782,45.35787410192499
8,21,56640,12038,31884,546344,13249,2866,292,10091,1373.5363800096643,291.9249813304438,1492.4636199903357,0.07501866955618652,108.65847033333289,0.025697927328552025
8,22,56640,12038,31884,546344,25171,1142,661,23368,2609.501413029154,554.6111936801722,-1467.5014130291538,106.38880631982784,-56.236850675840536,19.182592694149463
8,32,56640,12038,31884,546344,1910,126,10,1774,198.01150923227857,42.08443764368237,-72.01150923227857,-32.08443764368237,-36.367335167273055,-76.23824729543183
8,34,56640,12038,31884,546344,20526,3812,281,16433,2127.949863089921,452.26448537917497,1684.050136910079,-171.26448537917497,79.13955897742481,-37.86821448860575
