Old_HD,New_SD,Old_HD_Republican,Old_HD_Democrat,Old_HD_Other,Old_HD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
30,17,17002,1755,13205,122322,1825,146,13,1666,253.66369091414464,26.18396527198705,-107.66369091414464,-13.183965271987049,-42.443477237972004,-50.35129375951294
30,18,17002,1755,13205,122322,1339,166,10,1163,186.11270253919983,19.21113945161132,-20.11270253919983,-9.21113945161132,-10.806732837036531,-47.94686684156437
30,27,17002,1755,13205,122322,22445,3620,539,18286,3119.7159137358776,322.0269043998627,500.2840862641224,216.9730956001373,16.03620650397713,67.37731929712324
30,29,17002,1755,13205,122322,1465,485,5,975,203.62592174751884,21.01890910874577,281.3740782524811,-16.01890910874577,138.18185613979162,-76.21189580233948
30,31,17002,1755,13205,122322,9565,1749,133,7683,1329.4757279965993,137.2326727816746,419.5242720034007,-4.232672781674609,31.555617238352006,-3.0843039750515007
30,36,17002,1755,13205,122322,38449,3933,484,34032,5344.172740798876,551.6423456124,-1411.1727407988756,-67.64234561240005,-26.405821990475665,-12.261992965262229
30,38,17002,1755,13205,122322,1458,156,11,1291,202.65296512483445,20.91847746112719,-46.65296512483445,-9.918477461127189,-23.02111153226708,-47.414910954005606
31,1,9784,18304,13529,121812,643,185,1,457,51.646077562144946,96.61997175976094,133.35392243785506,-95.61997175976094,258.20726129180343,-98.96501729219459
31,3,9784,18304,13529,121812,8050,125,1923,6002,646.5799757002594,1209.627951269169,-521.5799757002594,713.372048730831,-80.66751141424966,58.97450104243581
31,10,9784,18304,13529,121812,8467,1513,117,6837,680.0736216464717,1272.2881817883297,832.9263783535283,-1155.2881817883297,122.47591317201763,-90.80397022665537
31,13,9784,18304,13529,121812,270,18,70,182,21.68653334646833,40.571372278593245,-3.6865333464683303,29.428627721406755,-16.999182338511865,72.53545066045065
31,14,9784,18304,13529,121812,526,110,2,414,42.248579778675335,79.03904377237053,67.75142022132466,-77.03904377237053,160.363781637748,-97.46960501475711
31,15,9784,18304,13529,121812,4951,91,1123,3737,397.6667651791285,743.9587561159819,-306.6667651791285,379.04124388401806,-77.11651866129442,50.94922813502395
31,17,9784,18304,13529,121812,36401,836,7620,27945,2923.746297573309,5469.7723048632315,-2087.746297573309,2150.2276951367685,-71.4065478015697,39.31110063256159
31,28,9784,18304,13529,121812,4217,81,1331,2805,338.711522674285,633.6647292549175,-257.711522674285,697.3352707450825,-76.08584456753424,110.04798571715217
31,32,9784,18304,13529,121812,8207,212,3918,4077,659.1902932387613,1233.219452927462,-447.19029323876134,2684.780547072538,-67.83933225739828,217.705011115362
31,36,9784,18304,13529,121812,10827,1441,1384,8002,869.62998719338,1626.912028371589,571.37001280662,-242.91202837158903,65.70265759241398,-14.930864369767113
31,37,9784,18304,13529,121812,39182,5171,797,33214,3147.117591041934,5887.657439332743,2023.8824089580662,-5090.657439332743,64.30908125959184,-86.46320700189504
32,5,12972,4495,8826,129697,19956,3815,446,15695,1995.9538925341374,691.6291047595549,1819.0461074658626,-245.62910475955493,91.13667977351591,-35.51457031944137
32,15,12972,4495,8826,129697,78160,6760,2717,68683,7817.3860613583975,2708.8460026060743,-1057.3860613583975,8.153997393925692,-13.526082159164332,0.3010136931402173
32,28,12972,4495,8826,129697,31581,2397,1332,27852,3158.660046107466,1094.5248926343709,-761.6600461074659,237.47510736562913,-24.113390962920743,21.69663832807486
33,15,17771,4709,8411,143166,28938,2252,1213,25473,3592.034407610746,951.8254473827585,-1340.0344076107458,261.1745526172415,-37.30572304016638,27.43933284568038
33,28,17771,4709,8411,143166,25980,2088,1279,22613,3224.861908553707,854.5312434516576,-1136.861908553707,424.4687565483424,-35.25304155003553,49.67270182349458
33,32,17771,4709,8411,143166,88248,13431,2217,72600,10954.103683835547,2902.643309165584,2476.8963161644533,-685.643309165584,22.61158363709385,-23.62134220903237
34,15,5191,4777,5781,109485,67674,3328,3058,61288,3208.619756130977,2952.721359090286,119.38024386902316,105.27864090971389,3.720610509890223,3.565478353912458
34,28,5191,4777,5781,109485,41811,1863,1719,38229,1982.3802438690232,1824.2786409097137,-119.38024386902316,-105.27864090971366,-6.022065859374589,-5.770973717985007
35,2,2297,9551,2842,86884,2156,70,200,1886,56.99935546245569,237.0051563003545,13.00064453754431,-37.005156300354514,22.808406221553803,-15.613650301117588
35,3,2297,9551,2842,86884,17152,494,952,15706,453.45683900372916,1885.4881451130243,40.54316099627084,-933.4881451130243,8.940908485435243,-49.50909649220133
