district,Democrat,Republican,Swing,Unknown,total_voters,republican_voters,democrat_voters,net_advantage_2026,net_advantage_pct_2026,rep_pct_2026,dem_pct_2026,advantage_2026
120,103902.0,9413.0,7606.0,0.0,120921.0,9413.0,103902.0,-94489.0,-78.14110038785654,7.784421233698034,85.92552162155457,Democrat
121,49812.0,71783.0,35255.0,0.0,156850.0,71783.0,49812.0,21971.0,14.007650621613005,45.76538093720115,31.75773031558814,Republican
122,52095.0,94254.0,24659.0,0.0,171008.0,94254.0,52095.0,42159.0,24.65323259730539,55.116719685628745,30.463487088323355,Republican
123,103077.0,15684.0,11278.0,0.0,130039.0,15684.0,103077.0,-87393.0,-67.20522304847007,12.060997085489737,79.2662201339598,Democrat
124,101644.0,3128.0,3279.0,0.0,108051.0,3128.0,101644.0,-98516.0,-91.17546343856142,2.894929246374397,94.07039268493583,Democrat
125,111998.0,12051.0,16544.0,0.0,140593.0,12051.0,111998.0,-99947.0,-71.0895990554295,8.571550503936896,79.6611495593664,Democrat
126,50867.0,91936.0,22911.0,0.0,165714.0,91936.0,50867.0,41069.0,24.783059970793055,55.47871634261439,30.69565637182133,Republican
127,70533.0,87685.0,21940.0,0.0,180158.0,87685.0,70533.0,17152.0,9.520531977486428,48.671166420586374,39.150634443099946,Republican
128,62068.0,121731.0,21812.0,0.0,205611.0,121731.0,62068.0,59663.0,29.017416383364704,59.204517268044995,30.187100884680294,Republican
129,110286.0,114395.0,23223.0,0.0,247904.0,114395.0,110286.0,4109.0,1.657496450238802,46.144878662708145,44.48738221246934,Republican
130,76603.0,147166.0,25825.0,0.0,249594.0,147166.0,76603.0,70563.0,28.271112286353038,58.96215453897129,30.69104225261825,Republican
131,145665.0,46733.0,11578.0,0.0,203976.0,46733.0,145665.0,-98932.0,-48.50178452366945,22.911028748480213,71.41281327214966,Democrat
132,82422.0,69060.0,33200.0,0.0,184682.0,69060.0,82422.0,-13362.0,-7.23513932056183,37.394006995809015,44.62914631637084,Democrat
133,118794.0,128450.0,21839.0,0.0,269083.0,128450.0,118794.0,9656.0,3.5884838507077745,47.73620035453745,44.14771650382968,Republican
134,221676.0,69475.0,19927.0,0.0,311078.0,69475.0,221676.0,-152201.0,-48.926957226161925,22.33362693600962,71.26058416217155,Democrat
135,101164.0,21262.0,10487.0,0.0,132913.0,21262.0,101164.0,-79902.0,-60.116015739619144,15.996930322842761,76.1129460624619,Democrat
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
137,102512.0,44349.0,12162.0,0.0,159023.0,44349.0,102512.0,-58163.0,-36.575212390660475,27.88841865642077,64.46363104708124,Democrat
138,97900.0,90493.0,26547.0,0.0,214940.0,90493.0,97900.0,-7407.0,-3.446077975248907,42.10151670233554,45.54759467758444,Democrat
139,156461.0,35633.0,7328.0,0.0,199422.0,35633.0,156461.0,-120828.0,-60.589102506243044,17.868138921483087,78.45724142772613,Democrat
140,122648.0,73941.0,14321.0,0.0,210910.0,73941.0,122648.0,-48707.0,-23.09373666492817,35.0580816461998,58.15181831112797,Democrat
141,192715.0,127962.0,19331.0,0.0,340008.0,127962.0,192715.0,-64753.0,-19.04455189289664,37.63499682360415,56.67954871650078,Democrat
142,180156.0,121795.0,23132.0,0.0,325083.0,121795.0,180156.0,-58361.0,-17.952645939652335,37.465816422267544,55.41846236191987,Democrat
143,153264.0,65900.0,15219.0,0.0,234383.0,65900.0,153264.0,-87364.0,-37.27403437962651,28.116373627780174,65.39040800740668,Democrat
144,128758.0,106391.0,19493.0,0.0,254642.0,106391.0,128758.0,-22367.0,-8.783704180771435,41.780617494364634,50.56432167513607,Democrat
145,187190.0,80775.0,5396.0,0.0,273361.0,80775.0,187190.0,-106415.0,-38.92837676186435,29.548838349289035,68.47721511115338,Democrat
146,183926.0,57114.0,16701.0,0.0,257741.0,57114.0,183926.0,-126812.0,-49.20133001734299,22.159454646331007,71.360784663674,Democrat
147,193068.0,72690.0,7771.0,0.0,273529.0,72690.0,193068.0,-120378.0,-44.00922754077264,26.574878714871186,70.58410625564383,Democrat
148,121784.0,33239.0,15634.0,0.0,170657.0,33239.0,121784.0,-88545.0,-51.88477472356833,19.47707975647058,71.36185448003891,Democrat
149,87010.0,29928.0,12282.0,0.0,129220.0,29928.0,87010.0,-57082.0,-44.17427642779755,23.160501470360625,67.33477789815818,Democrat
150,54421.0,92044.0,27391.0,0.0,173856.0,92044.0,54421.0,37623.0,21.64032302595251,52.94266519418369,31.302342168231178,Republican
