COUNTY,2026_CD,Democrat,Republican,Swing,Unknown,All
STEPHENS,8.0,4,329,4,2685,3022
STERLING,34.0,2,132,1,739,874
STONEWALL,34.0,5,59,21,872,957
SUTTON,13.0,11,344,11,1988,2354
SWISHER,17.0,11,290,14,3594,3909
TARRANT,6.0,1349,1411,143,83207,86110
TARRANT,12.0,5725,11743,1075,415446,433989
TARRANT,24.0,4146,14094,1157,334280,353677
TARRANT,25.0,4396,6146,642,226899,238083
TARRANT,26.0,0,0,0,18,18
TARRANT,30.0,795,261,31,31017,32104
TARRANT,33.0,3816,1079,197,163499,168591
TAYLOR,19.0,306,3402,193,86272,90173
TERRELL,36.0,23,26,38,539,626
TERRY,11.0,12,473,13,5921,6419
THROCKMORTON,19.0,2,112,0,1099,1213
TITUS,34.0,122,1326,59,16577,18084
TOM GREEN,2.0,22,259,10,3903,4194
TOM GREEN,7.0,16,273,8,5635,5932
TOM GREEN,9.0,57,581,22,13933,14593
TOM GREEN,18.0,75,579,28,15050,15732
TOM GREEN,29.0,38,715,23,11578,12354
TOM GREEN,36.0,23,115,4,4197,4339
TOM GREEN,38.0,77,540,40,14998,15655
TRAVIS,2.0,2332,536,250,60266,63384
TRAVIS,7.0,3512,1060,396,83011,87979
TRAVIS,8.0,386,49,22,17416,17873
TRAVIS,9.0,4716,1592,577,135129,142014
TRAVIS,18.0,7180,2025,827,179860,189892
TRAVIS,22.0,67,68,15,4455,4605
TRAVIS,29.0,6849,2427,780,162548,172604
TRAVIS,36.0,3474,931,367,93709,98481
TRAVIS,38.0,4913,1079,414,145084,151490
TRINITY,15.0,37,750,17,6834,7638
TRINITY,34.0,35,341,24,4285,4685
TYLER,14.0,2,48,0,727,777
TYLER,36.0,49,1069,29,12960,14107
UPSHUR,14.0,99,1233,48,22574,23954
UPSHUR,22.0,34,365,10,6123,6532
UPTON,8.0,3,261,14,1832,2110
UVALDE,14.0,176,315,150,10008,10649
UVALDE,22.0,152,150,124,6897,7323
VAL VERDE,16.0,618,436,240,28787,30081
VAL VERDE,23.0,1,2,4,65,72
VAN ZANDT,4.0,104,2412,44,39364,41924
VICTORIA,2.0,154,1082,31,21805,23072
VICTORIA,8.0,231,1580,59,33275,35145
WALKER,17.0,279,2436,136,36197,39048
WALLER,10.0,331,1451,47,42285,44114
WARD,23.0,36,355,105,6565,7061
WASHINGTON,10.0,268,2297,88,23208,25861
WEBB,2.0,471,23,70,10655,11219
WEBB,7.0,802,39,96,19856,20793
WEBB,9.0,1528,36,129,31360,33053
WEBB,18.0,1476,38,163,24525,26202
WEBB,29.0,1078,47,95,21300,22520
WEBB,36.0,320,24,39,8755,9138
WEBB,38.0,1175,34,94,24264,25567
WHARTON,4.0,195,1954,43,24271,26463
WHEELER,13.0,4,462,4,2950,3420
WICHITA,13.0,369,3630,115,75996,80110
WILBARGER,1.0,34,342,13,7745,8134
WILLACY,34.0,445,36,66,11140,11687
WILLIAMSON,10.0,686,785,163,30034,31668
WILLIAMSON,17.0,847,909,131,51271,53158
WILLIAMSON,31.0,4771,10004,1111,309559,325445
WILLIAMSON,37.0,915,476,116,35130,36637
WILSON,35.0,76,328,28,8215,8647
WILSON,37.0,156,1525,57,28797,30535
WINKLER,13.0,3,203,4,3869,4079
WISE,6.0,43,649,15,11834,12541
WISE,25.0,127,2315,76,40925,43443
WOOD,27.0,166,2397,54,33038,35655
YOAKUM,11.0,1,463,10,3830,4304
YOUNG,10.0,34,994,16,11363,12407
ZAPATA,4.0,1209,10,31,6957,8207
ZAVALA,27.0,864,5,21,6935,7825
All,,308633,544675,46989,17762755,18663052
