COUNTY,NEWHD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
HEMPHILL,88,268,5,2074,2347,11.418832552194292,0.21303792074989347,88.36812952705581
HENDERSON,0,0,0,42,42,0.0,0.0,100.0
HENDERSON,4,1552,193,32927,34672,4.476234425473004,0.5566451315182279,94.96712044300877
HENDERSON,8,1649,142,23239,25030,6.588094286855774,0.5673192169396724,92.84458649620456
HIDALGO,35,86,1532,47900,49518,0.1736742194757462,3.0938244678702693,96.73250131265398
HIDALGO,36,235,2064,94571,96870,0.24259316609889542,2.130690616289873,97.62671621761123
HIDALGO,39,335,2004,96346,98685,0.339463950955059,2.030703754369965,97.62983229467498
HIDALGO,40,290,3026,91282,94598,0.30656039239730226,3.1987991289456437,96.49464047865706
HIDALGO,41,823,2951,103716,107490,0.765652618848265,2.7453716624802307,96.4889757186715
HILL,13,1320,110,25458,26888,4.909253198452841,0.4091044332044035,94.68164236834275
HOCKLEY,88,831,26,13153,14010,5.931477516059957,0.185581727337616,93.88294075660242
HOOD,59,3790,189,47845,51824,7.313213954924359,0.364695893794381,92.32209015128126
HOPKINS,2,1308,98,24048,25454,5.138681543175925,0.38500825017678947,94.47631020664728
HOUSTON,9,1019,129,12789,13937,7.311473057329411,0.9255937432733014,91.7629331993973
HOWARD,72,793,52,16394,17239,4.600034804803063,0.30164162654446314,95.09832356865248
HUDSPETH,74,61,36,2118,2215,2.7539503386004514,1.6252821670428894,95.62076749435666
HUNT,2,2841,269,69920,73030,3.8901821169382447,0.36834177735177326,95.74147610570998
HUTCHINSON,87,1034,28,12412,13474,7.674038889713522,0.20780762950868337,92.11815348077779
IRION,72,133,2,1099,1234,10.777957860615883,0.1620745542949757,89.05996758508914
JACK,68,550,10,5310,5870,9.369676320272573,0.17035775127768313,90.45996592844975
JACKSON,30,623,30,9271,9924,6.277710600564289,0.3022974607013301,93.41999193873438
JASPER,21,1712,162,22709,24583,6.964162225928487,0.658991986332018,92.3768457877395
JEFF DAVIS,74,187,39,1349,1575,11.873015873015873,2.4761904761904763,85.65079365079366
JEFFERSON,21,1808,694,44671,47173,3.832700909418523,1.471180548194942,94.69611854238653
JEFFERSON,22,1326,3843,95853,101022,1.3125853774425373,3.8041218744431906,94.88329274811427
JIM HOGG,31,4,584,2970,3558,0.11242270938729623,16.41371557054525,83.47386172006746
JIM WELLS,43,247,1440,24793,26480,0.9327794561933535,5.438066465256798,93.62915407854985
JOHNSON,58,4856,636,123820,129312,3.755258599356595,0.49183370452858205,95.75290769611482
JONES,71,395,26,10476,10897,3.6248508763879963,0.23859777920528588,96.13655134440671
KARNES,31,413,36,8018,8467,4.877760718081965,0.4251801110192512,94.69705917089878
KAUFMAN,4,4187,789,103279,108255,3.8677197358089694,0.7288346958570043,95.40344556833402
KENDALL,19,2711,324,36053,39088,6.935632419156774,0.8288988948014737,92.23546868604176
KENEDY,31,2,34,235,271,0.7380073800738007,12.546125461254611,86.71586715867159
KENT,83,48,6,546,600,8.0,1.0,91.0
KERR,53,3492,406,36321,40219,8.68246351227032,1.00947313458813,90.30806335314155
KIMBLE,53,452,10,2864,3326,13.58989777510523,0.30066145520144316,86.10944076969332
KING,69,22,0,143,165,13.333333333333334,0.0,86.66666666666667
KINNEY,74,286,22,1866,2174,13.155473781048757,1.011959521619135,85.8325666973321
KLEBERG,43,434,376,17931,18741,2.3157782402219733,2.0062963555840136,95.67792540419401
KNOX,69,57,4,2168,2229,2.557200538358008,0.1794526693584567,97.26334679228353
LA SALLE,31,14,668,3535,4217,0.3319895660422101,15.84064500829974,83.82736542565806
LAMAR,1,1862,151,31181,33194,5.609447490510333,0.45490148822076276,93.93565102126891
LAMB,88,353,17,7532,7902,4.467223487724627,0.21513540875727666,95.31764110351808
LAMPASAS,68,1153,125,15705,16983,6.789142083259731,0.7360301477948538,92.47482776894542
LAVACA,30,1083,48,13363,14494,7.472057403063337,0.33117151924934457,92.19677107768732
LEE,17,928,80,11193,12201,7.605933939840996,0.6556839603311204,91.73838209982789
LEON,13,934,38,11710,12682,7.364768963885822,0.2996372811859328,92.33559375492824
LIBERTY,18,3038,208,51455,54701,5.553828997641725,0.3802489899636204,94.06592201239465
LIMESTONE,13,1066,75,13332,14473,7.365439093484419,0.518206315207628,92.11635459130795
LIPSCOMB,87,144,1,1677,1822,7.903402854006586,0.054884742041712405,92.0417124039517
LIVE OAK,31,478,34,7283,7795,6.132135984605516,0.43617703656189866,93.43168697883259
LLANO,53,1836,203,16458,18497,9.92593393523274,1.0974752662593934,88.97659079850787
LOVING,81,9,5,115,129,6.976744186046512,3.875968992248062,89.14728682170544
LUBBOCK,0,2,0,46,48,4.166666666666666,0.0,95.83333333333334
LUBBOCK,83,5345,447,83927,89719,5.957489494978767,0.4982222271759605,93.54428827784528
LUBBOCK,84,3337,690,103821,107848,3.0941695719902085,0.6397893331355241,96.26604109487427
LYNN,83,130,4,4255,4389,2.961950330371383,0.09113693324219639,96.94691273638642
MADISON,12,763,16,7699,8478,8.999764095305498,0.1887237556027365,90.81151214909177
MARION,7,366,53,7428,7847,4.66420288008156,0.6754173569517014,94.66037976296674
MARTIN,82,312,1,3196,3509,8.891422057566258,0.028498147620404674,91.08007979481334
MASON,53,393,20,2879,3292,11.938031591737545,0.6075334143377886,87.45443499392466
MATAGORDA,30,1373,172,20900,22445,6.117175317442638,0.7663176654043217,93.11650701715304
MAVERICK,74,64,2824,33063,35951,0.1780200828906011,7.855136157547774,91.96684375956163
MCCULLOCH,53,579,14,4850,5443,10.63751607569355,0.25721109682160576,89.10527282748484
MCLENNAN,13,446,324,30802,31572,1.412644115038642,1.0262257696693273,97.56113011529203
MCLENNAN,56,5669,936,121666,128271,4.419549235602747,0.7297050775311645,94.85074568686609
MCMULLEN,31,59,1,583,643,9.17573872472784,0.15552099533437014,90.6687402799378
MEDINA,53,2232,281,36104,38617,5.77983789522749,0.7276588031177978,93.49250330165472
MENARD,53,259,3,1257,1519,17.050691244239633,0.19749835418038184,82.75181040157999
