COUNTY,2026_SD,Democrat,Republican,Swing,Unknown,All
WALLER,4.0,7,17,0,361,385
WALLER,6.0,183,1063,32,23368,24646
WALLER,7.0,8,21,0,3956,3985
WALLER,11.0,29,120,1,4799,4949
WALLER,13.0,16,66,1,5761,5844
WALLER,15.0,12,155,9,1984,2160
WALLER,17.0,76,9,4,2056,2145
WARD,31.0,36,355,105,6565,7061
WASHINGTON,6.0,110,1165,42,9955,11272
WASHINGTON,11.0,21,156,7,2116,2300
WASHINGTON,13.0,110,635,31,7453,8229
WASHINGTON,15.0,16,196,4,2388,2604
WASHINGTON,17.0,11,145,4,1296,1456
WEBB,21.0,6850,241,686,140715,148492
WHARTON,14.0,195,1954,43,24271,26463
WHEELER,24.0,4,462,4,2950,3420
WICHITA,28.0,188,2356,79,45852,48475
WICHITA,30.0,181,1274,36,30144,31635
WILBARGER,8.0,34,342,13,7745,8134
WILLACY,27.0,445,36,66,11140,11687
WILLIAMSON,5.0,4384,9194,1018,284625,299221
WILLIAMSON,24.0,2835,2980,503,141369,147687
WILSON,21.0,232,1853,85,37012,39182
WINKLER,28.0,3,203,4,3869,4079
WISE,27.0,170,2964,91,52759,55984
WOOD,1.0,166,2397,54,33038,35655
YOAKUM,31.0,1,463,10,3830,4304
YOUNG,29.0,34,994,16,11363,12407
ZAPATA,21.0,1209,10,31,6957,8207
ZAVALA,1.0,864,5,21,6935,7825
All,,308633,544675,46989,17762755,18663052
