COUNTY,NEWCD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
MATAGORDA,22,1373,172,20900,22445,6.117175317442638,0.7663176654043217,93.11650701715304
MAVERICK,23,64,2824,33063,35951,0.1780200828906011,7.855136157547774,91.96684375956163
MCCULLOCH,11,579,14,4850,5443,10.63751607569355,0.25721109682160576,89.10527282748484
MCLENNAN,17,6115,1260,152468,159843,3.8256288983565123,0.7882734933653648,95.38609760827812
MCMULLEN,28,59,1,583,643,9.17573872472784,0.15552099533437014,90.6687402799378
MEDINA,23,2232,281,36104,38617,5.77983789522749,0.7276588031177978,93.49250330165472
MENARD,11,259,3,1257,1519,17.050691244239633,0.19749835418038184,82.75181040157999
MIDLAND,11,4668,268,94340,99276,4.7020427897981385,0.26995447036544584,95.02800273983641
MILAM,17,1488,122,15614,17224,8.639108221086856,0.7083139804923363,90.65257779842081
MILLS,11,635,10,2998,3643,17.430688992588525,0.2744990392533626,82.29481196815811
MITCHELL,19,315,5,4218,4538,6.941383869546056,0.11018069634200088,92.94843543411194
MONTAGUE,13,1096,29,14559,15684,6.988013261922979,0.18490181076256057,92.82708492731446
MONTGOMERY,0,0,0,9,9,0.0,0.0,100.0
MONTGOMERY,2,8215,1392,227551,237158,3.463935435448098,0.5869504718373405,95.94911409271457
MONTGOMERY,8,11179,868,206347,218394,5.118730368050405,0.3974468163044772,94.48382281564511
MOORE,13,681,5,9462,10148,6.7106819077650774,0.049270792274339774,93.24004729996058
MORRIS,1,352,69,8580,9001,3.9106765914898345,0.7665814909454505,95.32274191756471
MOTLEY,13,116,1,736,853,13.599062133645957,0.11723329425556857,86.28370457209847
NACOGDOCHES,17,2580,333,37158,40071,6.438571535524444,0.8310249307479225,92.73040353372764
NAVARRO,6,1828,160,30980,32968,5.5447706867265225,0.48531909730647904,93.969910215967
NEWTON,36,601,29,8876,9506,6.322322743530402,0.3050704818009678,93.37260677466863
NOLAN,19,436,21,8039,8496,5.131826741996234,0.24717514124293788,94.62099811676083
NUECES,27,4011,3112,212103,219226,1.8296187496008685,1.4195396531433315,96.7508415972558
OCHILTREE,13,463,4,4750,5217,8.874832279087599,0.07667241709794902,91.04849530381445
OLDHAM,13,146,1,1197,1344,10.863095238095239,0.0744047619047619,89.0625
ORANGE,14,3117,250,52977,56344,5.5320885986085475,0.4437029674854465,94.02420843390601
PALO PINTO,25,1363,77,18956,20396,6.682682878995881,0.3775250049029222,92.93979211610119
PANOLA,1,1411,90,16406,17907,7.879600156363434,0.5025967498743509,91.61780309376222
PARKER,0,0,0,1,1,0.0,0.0,100.0
PARKER,12,5693,369,91884,97946,5.812386417005289,0.37673820268311115,93.8108753803116
PARKER,25,1633,118,28151,29902,5.461173165674537,0.3946224332820547,94.14420440104341
PARMER,19,196,3,4371,4570,4.288840262582057,0.06564551422319474,95.64551422319475
PECOS,23,311,127,7908,8346,3.726335969326623,1.5216870357057273,94.75197699496765
POLK,8,2268,135,42145,44548,5.091137649277184,0.30304390769507045,94.60581844302774
POTTER,13,2625,323,56883,59831,4.387357724256656,0.539853921879962,95.07278835386337
PRESIDIO,23,10,519,3916,4445,0.22497187851518563,11.676040494938132,88.09898762654667
RAINS,4,611,42,8773,9426,6.482070867812434,0.4455760661998727,93.07235306598768
RANDALL,13,5883,347,94131,100361,5.861838762068931,0.34575183587250025,93.79240940205857
REAGAN,23,151,1,1657,1809,8.347153123272525,0.055279159756771695,91.5975677169707
REAL,21,321,15,2368,2704,11.871301775147929,0.5547337278106509,87.57396449704143
RED RIVER,0,0,0,1,1,0.0,0.0,100.0
RED RIVER,1,305,48,5929,6282,4.855141674625915,0.7640878701050621,94.38077045526903
RED RIVER,4,163,15,2313,2491,6.543556804496187,0.602167804094741,92.85427539140908
REEVES,23,20,565,7272,7857,0.2545500827287769,7.1910398370879465,92.55441008018327
REFUGIO,27,246,50,4657,4953,4.966686856450636,1.0094891984655765,94.02382394508379
ROBERTS,13,126,0,597,723,17.42738589211618,0.0,82.57261410788381
ROBERTSON,17,1066,101,11449,12616,8.449587824984148,0.800570703868104,90.74984147114775
ROCKWALL,4,4107,713,83428,88248,4.653929834103889,0.8079503218203246,94.53811984407578
RUNNELS,11,552,12,6265,6829,8.083174696148777,0.17572118904671255,91.7411041148045
RUSK,1,2013,203,32211,34427,5.847154849391465,0.589653469660441,93.5631916809481
SABINE,1,688,36,7755,8479,8.114164406179974,0.4245783700908126,91.4612572237292
SAN AUGUSTINE,1,358,49,5658,6065,5.902720527617477,0.8079142621599341,93.28936521022258
SAN JACINTO,8,1603,102,18821,20526,7.809607327292214,0.4969307220111079,91.69346195069667
SAN PATRICIO,27,1306,441,43625,45372,2.8784272238384907,0.9719650886008991,96.14960768756062
SAN SABA,11,492,6,3305,3803,12.93715487772811,0.15777018143570865,86.90507494083619
SCHLEICHER,23,169,23,1544,1736,9.735023041474653,1.3248847926267282,88.94009216589862
SCURRY,19,719,20,8661,9400,7.648936170212766,0.2127659574468085,92.13829787234043
SHACKELFORD,19,231,3,2209,2443,9.455587392550143,0.12279983626688497,90.42161277118296
SHELBY,1,1089,41,15265,16395,6.642268984446477,0.2500762427569381,93.1076547727966
SHERMAN,13,149,1,1302,1452,10.261707988980715,0.06887052341597796,89.6694214876033
SMITH,1,8968,1656,151578,162202,5.5289083981701825,1.0209491868164386,93.45014241501339
SOMERVELL,25,757,28,6650,7435,10.181573638197714,0.3765971755211836,89.44182918628111
STARR,28,28,1033,35410,36471,0.07677332675276247,2.832387376271558,97.09083929697569
STEPHENS,25,580,5,5324,5909,9.815535623624978,0.08461668641056017,90.09984768996446
STERLING,11,132,2,740,874,15.102974828375288,0.2288329519450801,84.66819221967964
STONEWALL,19,59,5,893,957,6.165099268547544,0.522466039707419,93.31243469174504
SUTTON,23,344,11,1999,2354,14.613423959218352,0.46728971962616817,84.91928632115548
SWISHER,19,290,11,3608,3909,7.418777180864672,0.28140189306728064,92.29982092606804
TARRANT,6,1411,1349,83350,86110,1.6386017884101731,1.5666008593659273,96.79479735222391
TARRANT,12,11743,5725,416521,433989,2.7058289495816714,1.3191578588397401,95.97501319157858
TARRANT,24,14094,4146,335437,353677,3.984991955937197,1.172256041529418,94.84275200253339
TARRANT,25,6146,4396,227541,238083,2.5814526866680945,1.8464149057261543,95.57213240760575
TARRANT,26,0,0,18,18,0.0,0.0,100.0
TARRANT,30,261,795,31048,32104,0.8129828058808871,2.4763269374532766,96.71069025666583
TARRANT,33,1079,3816,163696,168591,0.6400104394659264,2.2634660213178637,97.09652353921621
TAYLOR,19,3402,306,86465,90173,3.772747940070753,0.33934769831324235,95.88790436161601
TERRELL,23,26,23,577,626,4.15335463258786,3.6741214057507987,92.17252396166134
TERRY,19,473,12,5936,6421,7.366453823391995,0.18688677776047344,92.44665939884753
