COUNTY,2026_SD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
JASPER,1.0,1711,162,22702,24575,6.96236012207528,0.659206510681587,92.37843336724313
JEFF DAVIS,18.0,187,39,1346,1572,11.895674300254452,2.480916030534351,85.6234096692112
JEFFERSON,20.0,2270,2641,93040,97951,2.3174852732488693,2.6962460822247856,94.98626864452633
JEFFERSON,27.0,864,1896,47484,50244,1.719608311440172,3.7735849056603774,94.50680678289946
JIM HOGG,3.0,4,584,2970,3558,0.11242270938729623,16.41371557054525,83.47386172006746
JIM WELLS,4.0,167,1350,21809,23326,0.7159392952070651,5.787533224727771,93.49652748006517
JIM WELLS,7.0,76,35,1791,1902,3.995793901156677,1.840168243953733,94.1640378548896
JIM WELLS,18.0,4,55,1193,1252,0.3194888178913738,4.39297124600639,95.28753993610223
JOHNSON,20.0,3425,480,95432,99337,3.447859307206781,0.483203640134089,96.06893705265914
JOHNSON,27.0,1431,156,28388,29975,4.773978315262719,0.5204336947456214,94.70558798999166
JONES,17.0,395,26,10476,10897,3.6248508763879963,0.23859777920528588,96.13655134440671
KARNES,3.0,413,36,8018,8467,4.877760718081965,0.4251801110192512,94.69705917089878
KAUFMAN,27.0,4187,789,103267,108243,3.868148517687056,0.7289154956902525,95.4029359866227
KENDALL,25.0,2711,324,36053,39088,6.935632419156774,0.8288988948014737,92.23546868604176
KENEDY,5.0,2,34,234,270,0.7407407407407408,12.592592592592592,86.66666666666667
KENT,31.0,48,6,546,600,8.0,1.0,91.0
KERR,24.0,3492,406,36321,40219,8.68246351227032,1.00947313458813,90.30806335314155
KIMBLE,8.0,452,10,2864,3326,13.58989777510523,0.30066145520144316,86.10944076969332
KING,1.0,22,0,143,165,13.333333333333334,0.0,86.66666666666667
KINNEY,28.0,286,22,1866,2174,13.155473781048757,1.011959521619135,85.8325666973321
KLEBERG,2.0,30,19,1055,1104,2.717391304347826,1.7210144927536233,95.56159420289855
KLEBERG,8.0,404,357,16876,17637,2.2906389975619437,2.024153767647559,95.6852072347905
KNOX,24.0,57,4,2168,2229,2.557200538358008,0.1794526693584567,97.26334679228353
LA SALLE,21.0,14,668,3535,4217,0.3319895660422101,15.84064500829974,83.82736542565806
LAMAR,1.0,1862,151,31181,33194,5.609447490510333,0.45490148822076276,93.93565102126891
LAMB,1.0,353,17,7532,7902,4.467223487724627,0.21513540875727666,95.31764110351808
LAMPASAS,3.0,1153,125,15705,16983,6.789142083259731,0.7360301477948538,92.47482776894542
LAVACA,6.0,732,30,7076,7838,9.339117121714722,0.38275070170961983,90.27813217657565
LAVACA,7.0,75,5,1378,1458,5.1440329218107,0.3429355281207133,94.51303155006858
LAVACA,13.0,186,7,4185,4378,4.248515303791685,0.15989036089538602,95.59159433531292
LAVACA,17.0,90,6,724,820,10.975609756097562,0.7317073170731708,88.29268292682927
LEE,30.0,928,80,11193,12201,7.605933939840996,0.6556839603311204,91.73838209982789
LEON,1.0,934,38,11710,12682,7.364768963885822,0.2996372811859328,92.33559375492824
LIBERTY,3.0,3038,208,51448,54694,5.554539803269097,0.3802976560500238,94.06516254068087
LIMESTONE,25.0,1066,75,13332,14473,7.365439093484419,0.518206315207628,92.11635459130795
LIPSCOMB,19.0,57,0,736,793,7.187894073139975,0.0,92.81210592686003
LIPSCOMB,25.0,87,1,941,1029,8.454810495626822,0.09718172983479105,91.44800777453838
LIVE OAK,22.0,478,34,7283,7795,6.132135984605516,0.43617703656189866,93.43168697883259
LLANO,24.0,1836,203,16458,18497,9.92593393523274,1.0974752662593934,88.97659079850787
LOVING,1.0,9,5,115,129,6.976744186046512,3.875968992248062,89.14728682170544
LUBBOCK,4.0,628,51,8568,9247,6.791391802746836,0.5515302260192495,92.65707797123392
LUBBOCK,6.0,2649,346,55719,58714,4.511700786865143,0.5892972715195695,94.8990019416153
LUBBOCK,7.0,980,72,19100,20152,4.863040889241763,0.3572846367606193,94.77967447399762
LUBBOCK,11.0,228,37,4998,5263,4.332129963898916,0.703021090632719,94.96484894546836
LUBBOCK,13.0,877,156,21123,22156,3.9582957212493235,0.7040982126737678,95.3376060660769
LUBBOCK,15.0,2821,440,65417,68678,4.107574477998776,0.6406709572206528,95.25175456478057
LUBBOCK,17.0,499,35,11599,12133,4.112750350284348,0.288469463446798,95.59878018626885
LUBBOCK,18.0,0,0,1224,1224,0.0,0.0,100.0
LYNN,21.0,130,4,4254,4388,2.962625341841386,0.09115770282588878,96.94621695533272
MADISON,14.0,763,16,7699,8478,8.999764095305498,0.1887237556027365,90.81151214909177
MARION,20.0,219,38,4395,4652,4.707652622527945,0.816852966466036,94.47549441100603
MARION,27.0,147,15,3033,3195,4.600938967136151,0.4694835680751174,94.92957746478872
MARTIN,2.0,312,1,3196,3509,8.891422057566258,0.028498147620404674,91.08007979481334
MASON,31.0,393,20,2879,3292,11.938031591737545,0.6075334143377886,87.45443499392466
MATAGORDA,17.0,1373,172,20900,22445,6.117175317442638,0.7663176654043217,93.11650701715304
MAVERICK,2.0,64,2824,33060,35948,0.17803493935684878,7.855791699120952,91.9661733615222
MCCULLOCH,28.0,579,14,4848,5441,10.64142620841757,0.2573056423451571,89.10126814923727
MCLENNAN,22.0,6115,1260,152468,159843,3.8256288983565123,0.7882734933653648,95.38609760827812
MCMULLEN,4.0,52,1,445,498,10.441767068273093,0.2008032128514056,89.35742971887551
MCMULLEN,7.0,7,0,138,145,4.827586206896552,0.0,95.17241379310344
MEDINA,24.0,2232,281,36104,38617,5.77983789522749,0.7276588031177978,93.49250330165472
MENARD,21.0,259,3,1257,1519,17.050691244239633,0.19749835418038184,82.75181040157999
MIDLAND,31.0,4668,268,94339,99275,4.7020901536137,0.26995718962477966,95.02795265676151
MILAM,6.0,894,64,8337,9295,9.618074233458849,0.6885422270037656,89.69338353953738
MILAM,11.0,159,14,2293,2466,6.447688564476886,0.5677210056772101,92.98459042984591
MILAM,13.0,286,32,3028,3346,8.547519426180514,0.9563658099222951,90.4961147638972
MILAM,15.0,149,12,1956,2117,7.038261691072272,0.5668398677373643,92.39489844119036
MILLS,3.0,634,10,2993,3637,17.431949408853452,0.27495188342040144,82.29309870772616
MITCHELL,22.0,315,5,4218,4538,6.941383869546056,0.11018069634200088,92.94843543411194
MONTAGUE,1.0,1096,29,14556,15681,6.989350168994324,0.18493718512849947,92.82571264587718
MONTGOMERY,4.0,1326,166,28728,30220,4.387822634017207,0.5493050959629385,95.06287227001985
MONTGOMERY,6.0,7221,828,154386,162435,4.445470495890664,0.5097423584818542,95.04478714562748
MONTGOMERY,7.0,1050,96,23344,24490,4.287464271131074,0.39199673336055535,95.32053899550837
MONTGOMERY,11.0,1330,146,37700,39176,3.3949356749030017,0.3726771492750664,96.23238717582193
MONTGOMERY,13.0,2127,213,46115,48455,4.389639872046228,0.4395831183572387,95.17077700959653
MONTGOMERY,15.0,6193,775,136831,143799,4.306705888079889,0.5389467242470393,95.15434738767307
MONTGOMERY,17.0,16,12,4631,4659,0.34342133505044,0.25756600128783,99.39901266366174
MONTGOMERY,18.0,131,24,2163,2318,5.651423641069888,1.0353753235547885,93.31320103537533
MOORE,5.0,681,5,9462,10148,6.7106819077650774,0.049270792274339774,93.24004729996058
MORRIS,28.0,259,38,4621,4918,5.266368442456283,0.7726718178121188,93.96095973973159
MORRIS,30.0,93,31,3959,4083,2.2777369581190303,0.7592456527063434,96.96301738917462
MOTLEY,28.0,116,1,736,853,13.599062133645957,0.11723329425556857,86.28370457209847
NACOGDOCHES,1.0,2580,333,37158,40071,6.438571535524444,0.8310249307479225,92.73040353372764
NAVARRO,4.0,209,17,1674,1900,11.0,0.894736842105263,88.10526315789474
NAVARRO,6.0,404,34,9430,9868,4.094041345764086,0.3445480340494528,95.56141062018646
NAVARRO,7.0,164,11,4176,4351,3.7692484486324984,0.2528154447253505,95.97793610664215
NAVARRO,11.0,52,2,859,913,5.695509309967141,0.21905805038335158,94.0854326396495
NAVARRO,13.0,490,47,7011,7548,6.49178590355061,0.6226815050344462,92.88553259141494
NAVARRO,15.0,281,32,5055,5368,5.234724292101341,0.5961251862891207,94.16915052160954
NAVARRO,17.0,228,17,2773,3018,7.5546719681908545,0.5632869449966865,91.88204108681246
NEWTON,4.0,474,25,6970,7469,6.346231088499129,0.3347168295621904,93.31905208193868
NEWTON,7.0,99,2,1422,1523,6.500328299409061,0.13131976362442546,93.3683519369665
NEWTON,18.0,28,2,482,512,5.46875,0.390625,94.140625
NOLAN,3.0,436,21,8038,8495,5.132430841671572,0.2472042377869335,94.6203649205415
NUECES,2.0,244,336,22171,22751,1.0724803305349215,1.4768581600808757,97.4506615093842
NUECES,8.0,3441,2545,175156,181142,1.8996146669463736,1.4049751024058472,96.69541023064778
NUECES,30.0,326,231,14776,15333,2.1261331768081915,1.5065544903150068,96.36731233287679
