County,Old_SD,New_SD,Old_Republican,Old_Democrat,Old_Other,Old_Total,Transition_Republican,Transition_Democrat,Transition_Other,Transition_Total,Pct_Old_Republican,Pct_Old_Democrat,Pct_Transition_Republican,Pct_Transition_Democrat
DENTON,30,30.0,8108,3406,323189,334703,8108,3406,323189,334703,2.4224461686928414,1.0176186051514329,2.4224461686928414,1.0176186051514329
DENTON,12,12.0,11140,3525,313980,328645,11140,3525,313980,328645,3.389675789986155,1.0725859209785633,3.389675789986155,1.0725859209785633
DENTON,0,26.0,0,0,5,5,0,0,1,1,0.0,0.0,0.0,0.0
DICKENS,28,29.0,148,5,1286,1439,88,3,794,885,10.284920083391244,0.34746351633078526,9.943502824858758,0.3389830508474576
DICKENS,28,19.0,148,5,1286,1439,60,2,491,553,10.284920083391244,0.34746351633078526,10.849909584086799,0.3616636528028933
DIMMIT,21,21.0,13,938,5767,6718,13,933,5720,6666,0.1935099732063114,13.962488835963086,0.19501950195019502,13.996399639963997
DONLEY,28,18.0,75,7,2338,2420,75,7,2328,2410,3.0991735537190084,0.2892561983471074,3.112033195020747,0.29045643153526973
DUVAL,21,5.0,13,919,7118,8050,13,919,7118,8050,0.16149068322981366,11.416149068322982,0.16149068322981366,11.416149068322982
EASTLAND,22,11.0,886,22,11656,12564,144,6,2241,2391,7.051894301177969,0.17510347023241007,6.022584692597239,0.2509410288582183
EASTLAND,22,17.0,886,22,11656,12564,742,16,9415,10173,7.051894301177969,0.17510347023241007,7.2938169664798975,0.15727907205347488
ECTOR,31,13.0,2731,287,83771,86789,596,73,19537,20206,3.14671214093952,0.3306870686377306,2.949618925071761,0.36127882807087003
ECTOR,31,6.0,2731,287,83771,86789,1219,98,28135,29452,3.14671214093952,0.3306870686377306,4.1389379329077824,0.33274480510661414
ECTOR,31,7.0,2731,287,83771,86789,135,21,6826,6982,3.14671214093952,0.3306870686377306,1.9335433973073617,0.30077341735892293
ECTOR,31,11.0,2731,287,83771,86789,50,5,4173,4228,3.14671214093952,0.3306870686377306,1.1825922421948913,0.11825922421948912
ECTOR,31,15.0,2731,287,83771,86789,452,60,13476,13988,3.14671214093952,0.3306870686377306,3.231341149556763,0.42893909064912783
ECTOR,31,17.0,2731,287,83771,86789,136,20,4981,5137,3.14671214093952,0.3306870686377306,2.647459606774382,0.3893322951138797
ECTOR,31,4.0,2731,287,83771,86789,143,10,6643,6796,3.14671214093952,0.3306870686377306,2.104178928781636,0.14714537963507945
EDWARDS,19,5.0,139,5,1357,1501,139,5,1355,1499,9.260493004663557,0.3331112591605596,9.272848565710474,0.333555703802535
EL PASO,29,8.0,3117,12453,508124,523694,2714,10578,443496,456788,0.5951949038942589,2.3779153475120967,0.5941487079345341,2.315735089363118
EL PASO,29,30.0,3117,12453,508124,523694,121,672,21060,21853,0.5951949038942589,2.3779153475120967,0.5536997208621242,3.0750926646227064
EL PASO,29,2.0,3117,12453,508124,523694,282,1203,43567,45052,0.5951949038942589,2.3779153475120967,0.625943354346089,2.6702477137529965
ELLIS,22,13.0,3523,1003,90411,94937,618,136,14675,15429,3.710881953295343,1.05649009343038,4.005444293214078,0.8814569965649102
ELLIS,22,7.0,3523,1003,90411,94937,180,77,5755,6012,3.710881953295343,1.05649009343038,2.9940119760479043,1.2807717897538258
ELLIS,22,17.0,3523,1003,90411,94937,105,79,6241,6425,3.710881953295343,1.05649009343038,1.634241245136187,1.2295719844357975
ELLIS,22,11.0,3523,1003,90411,94937,470,90,10024,10584,3.710881953295343,1.05649009343038,4.440665154950869,0.8503401360544218
ELLIS,22,6.0,3523,1003,90411,94937,850,277,24024,25151,3.710881953295343,1.05649009343038,3.379587292751779,1.1013478589320504
ELLIS,22,18.0,3523,1003,90411,94937,325,102,5885,6312,3.710881953295343,1.05649009343038,5.1489226869455,1.6159695817490494
ELLIS,22,15.0,3523,1003,90411,94937,975,242,23807,25024,3.710881953295343,1.05649009343038,3.896259590792839,0.967071611253197
ELLIS,2,13.0,2116,461,50230,52807,473,120,12425,13018,4.007044520612797,0.8729903232525991,3.6334306345060687,0.9218005838070364
ELLIS,2,7.0,2116,461,50230,52807,304,71,5777,6152,4.007044520612797,0.8729903232525991,4.9414824447334205,1.1540962288686607
ELLIS,2,17.0,2116,461,50230,52807,73,10,1342,1425,4.007044520612797,0.8729903232525991,5.12280701754386,0.7017543859649122
ELLIS,2,11.0,2116,461,50230,52807,321,41,5837,6199,4.007044520612797,0.8729903232525991,5.1782545571866425,0.6613969995160509
