COUNTY,2026_HD,Democrat,Republican,Swing,Unknown,All
HALE,138.0,8,91,4,1192,1295
HALE,140.0,9,77,5,1909,2000
HALE,141.0,5,52,2,1621,1680
HALE,142.0,3,16,1,1253,1273
HALE,143.0,0,5,0,154,159
HALE,144.0,0,8,2,237,247
HALE,145.0,0,10,1,865,876
HALE,150.0,0,33,0,344,377
HALL,13.0,6,78,6,1800,1890
HAMILTON,64.0,25,561,13,5681,6280
HANSFORD,62.0,2,375,0,2633,3010
HARDEMAN,12.0,5,88,6,2296,2395
HARDIN,58.0,72,1383,39,41719,43213
HARRIS,126.0,1432,3830,191,121369,126822
HARRIS,127.0,1757,4658,250,138470,145135
HARRIS,128.0,922,3281,155,109668,114026
HARRIS,129.0,2043,3541,254,130388,136226
HARRIS,130.0,1106,3713,165,132401,137385
HARRIS,131.0,2854,353,61,89433,92701
HARRIS,132.0,1408,2992,189,137365,141954
HARRIS,133.0,2063,4564,408,112397,119432
HARRIS,134.0,5308,3152,785,142045,151290
HARRIS,135.0,1229,1044,74,114740,117087
HARRIS,137.0,968,737,79,63231,65015
HARRIS,138.0,1827,3825,287,114072,120011
HARRIS,139.0,3594,908,131,109256,113889
HARRIS,140.0,653,272,19,73638,74582
HARRIS,141.0,1980,254,28,89112,91374
HARRIS,142.0,2342,487,79,99624,102532
HARRIS,143.0,1398,531,90,84908,86927
HARRIS,144.0,747,890,46,88452,90135
HARRIS,145.0,3026,740,230,106400,110396
HARRIS,146.0,4035,811,164,101676,106686
HARRIS,147.0,3875,476,154,120664,125169
HARRIS,148.0,1423,1388,128,96609,99548
HARRIS,149.0,1072,817,71,97764,99724
HARRIS,150.0,1112,3043,167,125025,129347
HARRISON,128.0,7,121,5,2376,2509
HARRISON,134.0,15,297,10,2858,3180
HARRISON,137.0,32,217,13,2350,2612
HARRISON,141.0,15,58,4,905,982
HARRISON,143.0,30,348,10,4293,4681
HARRISON,145.0,130,589,24,11396,12139
HARRISON,146.0,75,168,17,4867,5127
HARRISON,147.0,90,657,18,13729,14494
HARRISON,150.0,8,112,2,1585,1707
HARTLEY,62.0,6,229,5,2613,2853
