new_district,old_district,party,voter_count
26,1,Swing,17
26,1,Unknown,3983
26,5,Democrat,916
26,5,Republican,2068
26,5,Swing,244
26,5,Unknown,40984
26,26,Democrat,12741
26,26,Republican,7233
26,26,Swing,1271
26,26,Unknown,526307
27,1,Democrat,513
27,1,Republican,5122
27,1,Swing,134
27,1,Unknown,77812
27,2,Democrat,789
27,2,Republican,4187
27,2,Swing,222
27,2,Unknown,103045
27,3,Democrat,1964
27,3,Republican,3907
27,3,Swing,260
27,3,Unknown,79539
27,4,Democrat,282
27,4,Republican,218
27,4,Swing,48
27,4,Unknown,10266
27,5,Democrat,102
27,5,Republican,1603
27,5,Swing,28
27,5,Unknown,18793
27,10,Democrat,156
27,10,Republican,1431
27,10,Swing,45
27,10,Unknown,28343
27,18,Democrat,45
27,18,Republican,311
27,18,Swing,10
27,18,Unknown,6204
27,21,Democrat,234
27,21,Republican,6
27,21,Swing,75
27,21,Unknown,13122
27,24,Democrat,332
27,24,Republican,2256
27,24,Swing,141
27,24,Unknown,36570
27,27,Democrat,3898
27,27,Republican,440
27,27,Swing,441
27,27,Unknown,150698
27,28,Democrat,9
27,28,Republican,62
27,28,Swing,5
27,28,Unknown,1926
27,31,Democrat,19
27,31,Republican,562
27,31,Swing,6
27,31,Unknown,7567
28,1,Democrat,38
28,1,Republican,259
28,1,Swing,20
28,1,Unknown,4601
28,10,Democrat,3
28,10,Republican,219
28,10,Swing,4
28,10,Unknown,1902
28,17,Democrat,88
28,17,Republican,1110
28,17,Swing,33
28,17,Unknown,13592
28,18,Democrat,42
28,18,Republican,962
28,18,Swing,47
28,18,Unknown,12154
28,19,Democrat,22
28,19,Republican,286
28,19,Swing,38
28,19,Unknown,1828
28,24,Democrat,90
28,24,Republican,1210
28,24,Swing,51
28,24,Unknown,12001
28,28,Democrat,596
28,28,Republican,7554
28,28,Swing,278
28,28,Unknown,148528
28,29,Democrat,519
28,29,Republican,10
28,29,Swing,54
28,29,Unknown,3861
28,31,Democrat,13
28,31,Republican,967
28,31,Swing,19
28,31,Unknown,12379
29,1,Democrat,524
29,1,Republican,3893
29,1,Swing,162
29,1,Unknown,60936
29,3,Democrat,135
29,3,Republican,2268
29,3,Swing,64
29,3,Unknown,42066
29,12,Democrat,170
29,12,Republican,2964
29,12,Swing,91
29,12,Unknown,52759
29,19,Democrat,619
29,19,Republican,438
29,19,Swing,244
29,19,Unknown,28852
29,27,Democrat,441
29,27,Republican,1306
29,27,Swing,112
29,27,Unknown,43512
29,28,Democrat,19
29,28,Republican,463
29,28,Swing,35
29,28,Unknown,6728
29,29,Democrat,332
29,29,Republican,65
29,29,Swing,68
29,29,Unknown,3451
29,31,Democrat,3
29,31,Republican,261
29,31,Swing,14
29,31,Unknown,1832
30,1,Democrat,74
30,1,Republican,1040
30,1,Swing,42
30,1,Unknown,14682
30,5,Democrat,279
30,5,Republican,2436
30,5,Swing,136
30,5,Unknown,36197
30,10,Republican,12
30,10,Unknown,302
30,17,Democrat,19
30,17,Republican,365
30,17,Swing,15
30,17,Unknown,2604
30,18,Democrat,80
30,18,Republican,928
30,18,Swing,33
30,18,Unknown,11160
30,20,Democrat,199
30,20,Republican,201
30,20,Swing,19
30,20,Unknown,9891
30,24,Democrat,63
30,24,Republican,503
30,24,Swing,20
30,24,Unknown,7479
30,27,Democrat,32
30,27,Republican,125
30,27,Swing,16
30,27,Unknown,4850
30,30,Democrat,4185
30,30,Republican,15672
30,30,Swing,1088
30,30,Unknown,476034
30,31,Democrat,44
30,31,Republican,1023
30,31,Swing,26
30,31,Unknown,11402
31,28,Democrat,31
31,28,Republican,529
31,28,Swing,34
31,28,Unknown,5693
31,31,Democrat,710
31,31,Republican,12229
31,31,Swing,451
31,31,Unknown,215609
