COUNTY,NEWHD,Democrat,Republican,Swing,Unknown,All
WILLIAMSON,136,2453,2068,399,116545,121465
WILSON,31,232,1853,85,37012,39182
WINKLER,81,3,203,4,3869,4079
WISE,64,170,2964,91,52759,55984
WOOD,5,166,2397,54,33051,35668
YOAKUM,88,1,463,10,3830,4304
YOUNG,68,34,994,16,11385,12429
ZAPATA,31,1209,10,31,6957,8207
ZAVALA,80,864,5,21,6936,7826
All,,308646,544740,46991,17764572,18664949
