County,Old_Republican,Old_Democrat,Old_Other,Old_Total,New_Republican,New_Democrat,New_Other,New_Total,Net_Republican_Change,Net_Democrat_Change,Net_Other_Change,Pct_Republican_Change,Pct_Democrat_Change
ROBERTSON,1066,101,11449,12616,1066,101,11449,12616,0,0,0,0.0,0.0
ROCKWALL,4107,713,83428,88248,4107,713,83428,88248,0,0,0,0.0,0.0
RUNNELS,552,12,6265,6829,552,12,6264,6828,0,0,-1,0.0,0.0
RUSK,2013,203,32211,34427,2009,203,32185,34397,-4,0,-26,-0.19870839542970692,0.0
SABINE,688,36,7755,8479,688,36,7755,8479,0,0,0,0.0,0.0
SAN AUGUSTINE,358,49,5658,6065,358,49,5657,6064,0,0,-1,0.0,0.0
SAN JACINTO,1603,102,18821,20526,1603,102,18821,20526,0,0,0,0.0,0.0
SAN PATRICIO,1306,441,43625,45372,1306,441,43624,45371,0,0,-1,0.0,0.0
SAN SABA,492,6,3305,3803,492,6,3305,3803,0,0,0,0.0,0.0
SCHLEICHER,169,23,1544,1736,169,23,1544,1736,0,0,0,0.0,0.0
SCURRY,719,20,8661,9400,719,20,8661,9400,0,0,0,0.0,0.0
SHACKELFORD,231,3,2209,2443,231,3,2208,2442,0,0,-1,0.0,0.0
SHELBY,1089,41,15265,16395,1089,41,15260,16390,0,0,-5,0.0,0.0
SHERMAN,149,1,1302,1452,149,1,1302,1452,0,0,0,0.0,0.0
SMITH,8968,1656,151578,162202,8968,1656,151573,162197,0,0,-5,0.0,0.0
SOMERVELL,757,28,6650,7435,757,28,6650,7435,0,0,0,0.0,0.0
STARR,28,1033,35410,36471,28,1032,35341,36401,0,-1,-69,0.0,-0.0968054211035818
STEPHENS,580,5,5324,5909,580,5,5322,5907,0,0,-2,0.0,0.0
STERLING,132,2,740,874,132,2,740,874,0,0,0,0.0,0.0
STONEWALL,59,5,893,957,59,5,893,957,0,0,0,0.0,0.0
SUTTON,344,11,1999,2354,344,11,1999,2354,0,0,0,0.0,0.0
SWISHER,290,11,3608,3909,290,11,3608,3909,0,0,0,0.0,0.0
TARRANT,34734,20227,1257611,1312572,34734,20227,1257611,1312572,0,0,0,0.0,0.0
TAYLOR,3402,306,86465,90173,3402,306,86465,90173,0,0,0,0.0,0.0
TERRELL,26,23,577,626,26,23,577,626,0,0,0,0.0,0.0
TERRY,473,12,5936,6421,473,12,5934,6419,0,0,-2,0.0,0.0
THROCKMORTON,112,2,1109,1223,112,2,1099,1213,0,0,-10,0.0,0.0
TITUS,1326,122,16638,18086,1326,122,16636,18084,0,0,-2,0.0,0.0
TOM GREEN,3062,308,69429,72799,3062,308,69429,72799,0,0,0,0.0,0.0
TRAVIS,9767,33430,885176,928373,9767,33429,885126,928322,0,-1,-50,0.0,-0.002991325157044571
TRINITY,1091,72,11160,12323,1091,72,11160,12323,0,0,0,0.0,0.0
TYLER,1117,51,13728,14896,1117,51,13716,14884,0,0,-12,0.0,0.0
UPSHUR,1598,133,28757,30488,1598,133,28755,30486,0,0,-2,0.0,0.0
UPTON,261,3,1846,2110,261,3,1846,2110,0,0,0,0.0,0.0
UVALDE,465,328,17182,17975,465,328,17179,17972,0,0,-3,0.0,0.0
VAL VERDE,438,619,29105,30162,438,619,29096,30153,0,0,-9,0.0,0.0
VAN ZANDT,2412,104,39412,41928,2412,104,39408,41924,0,0,-4,0.0,0.0
VICTORIA,2662,385,55170,58217,2662,385,55170,58217,0,0,0,0.0,0.0
WALKER,2436,279,36355,39070,2436,279,36333,39048,0,0,-22,0.0,0.0
WALLER,1451,331,42332,44114,1451,331,42332,44114,0,0,0,0.0,0.0
WARD,355,36,6670,7061,355,36,6670,7061,0,0,0,0.0,0.0
WASHINGTON,2297,268,23296,25861,2297,268,23296,25861,0,0,0,0.0,0.0
WEBB,241,6850,141526,148617,241,6850,141401,148492,0,0,-125,0.0,0.0
WHARTON,1954,195,24318,26467,1954,195,24314,26463,0,0,-4,0.0,0.0
WHEELER,462,4,2954,3420,462,4,2954,3420,0,0,0,0.0,0.0
WICHITA,3630,369,76113,80112,3630,369,76111,80110,0,0,-2,0.0,0.0
WILBARGER,342,34,7758,8134,342,34,7758,8134,0,0,0,0.0,0.0
WILLACY,36,445,11208,11689,36,445,11206,11687,0,0,-2,0.0,0.0
WILLIAMSON,12174,7219,427515,446908,12174,7219,427515,446908,0,0,0,0.0,0.0
WILSON,1853,232,37097,39182,1853,232,37097,39182,0,0,0,0.0,0.0
WINKLER,203,3,3873,4079,203,3,3873,4079,0,0,0,0.0,0.0
WISE,2964,170,52850,55984,2964,170,52850,55984,0,0,0,0.0,0.0
WOOD,2397,166,33105,35668,2397,166,33092,35655,0,0,-13,0.0,0.0
YOAKUM,463,1,3840,4304,463,1,3840,4304,0,0,0,0.0,0.0
YOUNG,994,34,11401,12429,994,34,11379,12407,0,0,-22,0.0,0.0
ZAPATA,10,1209,6988,8207,10,1209,6988,8207,0,0,0,0.0,0.0
ZAVALA,5,864,6957,7826,5,864,6956,7825,0,0,-1,0.0,0.0
