COUNTY,2026_CD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
LAVACA,36.0,214,10,2222,2446,8.748977923139819,0.4088307440719542,90.84219133278822
LAVACA,38.0,75,5,1378,1458,5.1440329218107,0.3429355281207133,94.51303155006858
LEE,19.0,928,80,11193,12201,7.605933939840996,0.6556839603311204,91.73838209982789
LEON,15.0,583,23,8070,8676,6.719686491470724,0.26509912402028585,93.015214384509
LEON,34.0,351,15,3640,4006,8.761857214178733,0.37443834248627056,90.863704443335
LIBERTY,36.0,3038,208,51448,54694,5.554539803269097,0.3802976560500238,94.06516254068087
LIMESTONE,11.0,1066,75,13332,14473,7.365439093484419,0.518206315207628,92.11635459130795
LIPSCOMB,13.0,144,1,1677,1822,7.903402854006586,0.054884742041712405,92.0417124039517
LIVE OAK,16.0,478,34,7283,7795,6.132135984605516,0.43617703656189866,93.43168697883259
LLANO,11.0,1836,203,16458,18497,9.92593393523274,1.0974752662593934,88.97659079850787
LOVING,23.0,9,5,115,129,6.976744186046512,3.875968992248062,89.14728682170544
LUBBOCK,16.0,8435,1119,184618,194172,4.344086686030941,0.5762931833632037,95.07962013060586
LUBBOCK,23.0,247,18,3130,3395,7.275405007363771,0.5301914580265096,92.19440353460972
LYNN,8.0,130,4,4254,4388,2.962625341841386,0.09115770282588878,96.94621695533272
MADISON,11.0,243,2,2144,2389,10.171619924654667,0.08371703641691085,89.74466303892842
MADISON,31.0,520,14,5555,6089,8.539990146165216,0.22992281162752506,91.23008704220726
MARION,17.0,366,53,7428,7847,4.66420288008156,0.6754173569517014,94.66037976296674
MARTIN,4.0,312,1,3196,3509,8.891422057566258,0.028498147620404674,91.08007979481334
MASON,18.0,71,2,713,786,9.033078880407125,0.2544529262086514,90.71246819338423
MASON,29.0,108,2,745,855,12.631578947368421,0.23391812865497078,87.13450292397661
MASON,36.0,117,4,704,825,14.181818181818182,0.48484848484848486,85.33333333333334
MASON,38.0,97,12,717,826,11.743341404358354,1.4527845036319613,86.80387409200968
MATAGORDA,22.0,1373,172,20900,22445,6.117175317442638,0.7663176654043217,93.11650701715304
